yr,Tm,W,L,W_L_perc,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,PRE_OU,next_season_wins
2009,ARI,10,6,0.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4,8.5,5
2009,ATL,9,7,0.563,363,325,38,2.4,2.7,5,2.7,2.3,8.5,13
2009,BAL,9,7,0.563,391,261,130,8.1,-0.7,7.5,2.6,4.9,8.5,12
2009,BUF,6,10,0.375,258,326,-68,-4.3,2.4,-1.8,-4.5,2.7,7.5,4
2009,CAR,8,8,0.5,315,308,7,0.4,3.5,3.9,-0.6,4.5,8.5,2
2009,CHI,7,9,0.438,327,375,-48,-3,-0.9,-3.9,-1.9,-2,8.5,11
2009,CIN,10,6,0.625,305,291,14,0.9,-0.2,0.7,-2.5,3.2,7,4
2009,CLE,5,11,0.313,245,375,-130,-8.1,-0.3,-8.4,-6,-2.4,7,5
2009,DAL,11,5,0.688,361,250,111,6.9,0.2,7.1,0.4,6.7,9,6
2009,DEN,8,8,0.5,326,324,2,0.1,0.2,0.3,-1,1.3,6.5,4
2009,DET,2,14,0.125,262,494,-232,-14.5,0.1,-14.4,-5.2,-9.2,4.5,6
2009,GB,11,5,0.688,461,297,164,10.3,-2.9,7.4,6.3,1.1,9,10
2009,HOU,9,7,0.563,388,333,55,3.4,-1.5,2,2.7,-0.7,6.5,6
2009,IND,14,2,0.875,416,307,109,6.8,-0.9,5.9,4.4,1.5,4.5,10
2009,JAC,7,9,0.438,290,380,-90,-5.6,-0.9,-6.5,-3.8,-2.6,9,8
2009,KC,4,12,0.25,294,424,-130,-8.1,-0.3,-8.4,-2.5,-5.9,8.5,10
2009,MIA,7,9,0.438,360,390,-30,-1.9,3.6,1.7,2.9,-1.2,10,7
2009,MIN,12,4,0.75,470,312,158,9.9,-2.7,7.2,6.6,0.6,9.5,6
2009,NE,10,6,0.625,427,285,142,8.9,2.3,11.2,6.7,4.5,11.5,14
2009,NO,13,3,0.813,510,341,169,10.6,0.2,10.8,11.2,-0.5,9,11
2009,NYG,8,8,0.5,402,427,-25,-1.6,1.6,0.1,4.6,-4.5,10,10
2009,NYJ,9,7,0.563,348,236,112,7,1.6,8.6,1.1,7.5,7,11
2009,OAK,5,11,0.313,197,379,-182,-11.4,1.1,-10.3,-8.7,-1.6,6,8
2009,PHI,11,5,0.688,429,337,92,5.8,0.2,6,5.8,0.2,9.5,10
